x,y
-15.2198,-1.9347
-14.3275,-1.8686
-14.2111,-0.191975
-14.0787,0.488003
-14.1482,1.91678
-14.145,3.62801
-13.9884,-3.73018
-13.9559,4.15043
-13.9121,1.58786
-13.8385,-1.31683
-13.8068,1.24838
-13.7671,2.09043
-13.6595,0.423459
-13.7155,1.32498
-13.7131,2.41518
-13.7342,6.83607
-13.5601,-1.93098
-13.59,-1.88232
-13.5893,-1.19442
-13.6391,0.262462
-13.5605,1.26638
-13.5543,2.25445
-13.6251,3.26103
-13.5113,-5.54798
-13.4552,-2.49933
-13.482,-1.39461
-13.4844,-0.892304
-13.5477,0.0991858
-13.4694,4.05227
-13.4159,-2.13468
-13.371,-2.0096
-13.4496,-1.79711
-13.3664,-1.26279
-13.3641,-1.06406
-13.3995,2.11883
-13.4187,2.5229
-13.3985,3.83565
-13.4031,5.11029
-13.2994,-4.46411
-13.2711,-2.9645
-13.2987,-0.458387
-13.2516,-0.0969123
-13.2723,2.42042
-13.3157,4.5868
-13.3498,5.30925
-13.2357,-2.60068
-13.2498,-2.16163
-13.245,-0.698614
-13.1776,0.548821
-13.2158,1.03389
-13.1792,1.37412
-13.2282,2.16339
-13.2224,2.64774
-13.2489,2.76112
-13.2072,3.42287
-13.0782,-3.86659
-13.1224,-2.80554
-13.0576,-2.84956
-13.1253,-2.28777
-13.1429,-1.21981
-13.0702,-0.85963
-13.0803,-0.754296
-13.133,-0.520554
-13.0842,-0.304733
-13.1497,2.34175
-13.1329,6.67331
-12.9886,-3.5076
-13.0053,-2.83524
-13.0039,-1.77291
-12.9622,-1.52019
-13.0152,-1.31837
-12.9557,-0.949691
-13.0112,-0.25367
-12.9943,0.57654
-13.0384,1.46869
-12.9779,2.5597
-12.9763,3.90218
-13.0231,6.35584
-12.8654,-5.32389
-12.8959,-4.54079
-12.9129,-4.13063
-12.8718,-3.42963
-12.9132,-3.35944
-12.892,-1.20354
-12.8642,-0.454227
-12.872,-0.277569
-12.8586,2.80925
-12.861,3.13303
-12.8721,3.62199
-12.9102,3.97223
-12.9234,4.54984
-12.8633,4.91618
-12.7921,-3.19124
-12.8401,-2.27202
-12.7581,-2.20837
-12.7609,-1.62331
-12.8328,-1.29361
-12.8386,-0.996556
-12.819,0.258628
-12.756,0.979689
-12.7672,2.64732
-12.816,4.81479
-12.8131,5.10143
-12.8133,8.11492
-12.6617,-7.03372
-12.6728,-6.03638
-12.7366,-1.93853
-12.7217,-0.678104
-12.7137,0.591549
-12.746,1.66646
-12.7383,1.7588
-12.6678,2.04544
-12.6271,-6.44386
-12.6275,-4.74977
-12.6299,-4.18843
-12.5757,-2.3796
-12.6245,-2.31957
-12.6163,-1.62365
-12.5678,-1.41214
-12.638,-1.24125
-12.6479,-1.22534
-12.5586,-0.542694
-12.6083,0.84512
-12.5681,2.73243
-12.5519,3.74813
-12.5762,3.75313
-12.5673,4.24414
-12.6499,4.34065
-12.5896,4.39335
-12.572,5.99739
-12.4946,-5.30679
-12.5056,-4.00913
-12.4703,-3.68207
-12.5115,-3.38409
-12.47,-3.34571
-12.5053,-2.90535
-12.4961,-2.799
-12.5292,-1.53123
-12.5496,-1.24729
-12.4893,-0.660786
-12.5187,0.138258
-12.4714,0.439771
-12.5352,0.888637
-12.5,1.56422
-12.4778,1.82203
-12.471,2.69353
-12.5417,3.02124
-12.4607,3.08216
-12.4937,3.28242
-12.4954,4.53153
-12.5077,4.78887
-12.5296,5.01341
-12.5062,5.14323
-12.3779,-3.50136
-12.3787,-3.21814
-12.4214,-3.17843
-12.3818,-1.92425
-12.4484,-1.55891
-12.4329,-1.13128
-12.4052,-0.914859
-12.4051,-0.428137
-12.3903,-0.0640105
-12.3549,0.0290797
-12.3547,0.49744
-12.3935,0.515044
-12.3555,1.18787
-12.4056,1.40224
-12.406,1.72289
-12.3742,1.75032
-12.4119,2.08274
-12.3622,2.23534
-12.3712,2.32865
-12.3947,2.41834
-12.4436,2.48469
-12.4349,2.4989
-12.3916,3.44896
-12.3971,4.14873
-12.4151,4.88473
-12.4127,6.42054
-12.3313,-6.62166
-12.2893,-5.65383
-12.3344,-4.65552
-12.3271,-4.72144
-12.2765,-4.28392
-12.3355,-3.8614
-12.2737,-3.39516
-12.3498,-3.04985
-12.2997,-2.94912
-12.2985,-2.48187
-12.3264,-1.45918
-12.2877,-1.25531
-12.3076,-1.01437
-12.2688,-0.922665
-12.2557,-0.234585
-12.3122,-0.0701851
-12.279,0.260054
-12.315,0.539976
-12.3309,1.05182
-12.2772,1.07099
-12.2625,1.07902
-12.3244,1.22732
-12.3141,1.56115
-12.2854,2.29064
-12.3403,2.38384
-12.3333,2.61046
-12.346,4.43129
-12.2936,4.91898
-12.3009,6.77552
-12.1853,-7.91221
-12.1652,-4.29416
-12.2174,-4.22982
-12.2428,-3.56044
-12.1526,-3.26606
-12.1718,-2.81197
-12.2277,-2.54665
-12.1552,-2.19171
-12.1653,-2.08079
-12.1746,-1.60167
-12.214,-1.27334
-12.168,-1.02764
-12.1965,-0.898123
-12.1515,-0.670223
-12.1726,-0.655278
